Date,U.S. Air Carrier Cargo (millions of revenue ton-miles) - Domestic,U.S. Airline Traffic - Domestic - Non Seasonally Adjusted,"Jet Fuel CO2 Emissions, Monthly - Million Metric Tons of Carbon Dioxide","Jet Fuel Consumed by the Transportation Sector, Monthly - Trillion Btu","Gulf Coast (PADD 3) Product Supplied of Kerosene-Type Jet Fuel, Monthly - Thousand Barrels","Gulf Coast (PADD 3) Kerosene-Type Jet Fuel Wholesale/Resale Price by Refiners, Monthly - Dollars per Gallon"
1/1/1973,,,13.778,189.393,,
2/1/1973,,,12.225,166.907,,
3/1/1973,,,12.325,169.867,,
4/1/1973,,,12.144,168.052,,
5/1/1973,,,13.792,190.814,,
6/1/1973,,,12.07,165.809,,
7/1/1973,,,12.975,177.699,,
8/1/1973,,,12.99,176.976,,
9/1/1973,,,12.841,178.388,,
10/1/1973,,,13.667,189.627,,
11/1/1973,,,12.302,170.359,,
12/1/1973,,,13.457,187.331,,
1/1/1974,,,11.101,152.562,,
2/1/1974,,,9.633,131.399,,
3/1/1974,,,11.839,163.595,,
4/1/1974,,,11.264,156.114,,
5/1/1974,,,13.013,180.371,,
6/1/1974,,,11.382,156.801,,
7/1/1974,,,12.739,175.179,,
8/1/1974,,,12.758,174.691,,
9/1/1974,,,13.281,184.862,,
10/1/1974,,,12.517,173.871,,
11/1/1974,,,12.356,171.506,,
12/1/1974,,,12.924,180.108,,
1/1/1975,,,12.933,179.442,,
2/1/1975,,,12.038,166.525,,
3/1/1975,,,12.168,169.139,,
4/1/1975,,,12.076,168.207,,
5/1/1975,,,12.103,168.422,,
6/1/1975,,,11.873,164.752,,
7/1/1975,,,11.824,163.667,,
8/1/1975,,,12.97,179.283,,
9/1/1975,,,12.456,173.816,,
10/1/1975,,,12.342,172.047,,
11/1/1975,,,11.961,166.64,,
12/1/1975,,,11.256,157.142,,
1/1/1976,,,11.781,162.691,,
2/1/1976,,,11.197,155.204,,
3/1/1976,,,11.964,165.522,,
4/1/1976,,,12.11,168.567,,
5/1/1976,,,11.887,165.695,,
6/1/1976,,,11.657,160.129,,
7/1/1976,,,13.626,188.859,,
8/1/1976,,,11.97,166.62,,
9/1/1976,,,12.548,174.372,,
10/1/1976,,,11.297,157.056,,
11/1/1976,,,11.727,162.135,,
12/1/1976,,,12.729,175.139,,
1/1/1977,,,13.087,178.868,,
2/1/1977,,,11.606,160.808,,
3/1/1977,,,12.871,176.818,,
4/1/1977,,,12.189,169.942,,
5/1/1977,,,12.273,168.282,,
6/1/1977,,,11.841,164.182,,
7/1/1977,,,12.914,174.814,,
8/1/1977,,,13.774,189.285,,
9/1/1977,,,12.575,173.415,,
10/1/1977,,,12.598,174.414,,
11/1/1977,,,12.404,172.777,,
12/1/1977,,,13.53,186.821,,
1/1/1978,,,12.177,166.484,,
2/1/1978,,,12.416,169.5,,
3/1/1978,,,13.74,189.489,,
4/1/1978,,,12.128,168.713,,
5/1/1978,,,12.341,171.815,,
6/1/1978,,,12.54,173.713,,
7/1/1978,,,12.575,174.951,,
8/1/1978,,,13.968,194.568,,
9/1/1978,,,12.927,178.889,,
10/1/1978,,,13.235,185.147,,
11/1/1978,,,13.29,185.387,,
12/1/1978,,,12.987,179.606,,
1/1/1979,,,13.618,187.806,,
2/1/1979,,,12.889,178.258,,
3/1/1979,,,13.669,189.85,,
4/1/1979,,,11.767,164.629,,
5/1/1979,,,12.26,171.472,,
6/1/1979,,,13.122,182.929,,
7/1/1979,,,13.573,187.813,,
8/1/1979,,,13.472,186.632,,
9/1/1979,,,13.203,183.135,,
10/1/1979,,,13.079,182.467,,
11/1/1979,,,12.831,179.323,,
12/1/1979,,,13.68,191.328,,
1/1/1980,,,13.683,190.837,,
2/1/1980,,,12.446,173.581,,
3/1/1980,,,13.818,193.592,,
4/1/1980,,,13.291,186.13,,
5/1/1980,,,12.49,174.611,,
6/1/1980,,,12.688,177.703,,
7/1/1980,,,13.766,190.904,,
8/1/1980,,,12.915,179.269,,
9/1/1980,,,12.65,177.066,,
10/1/1980,,,12.778,178.53,,
11/1/1980,,,12.287,169.791,,
12/1/1980,,,13.408,187.356,,
1/1/1981,,,13.209,183.861,1372,
2/1/1981,,,11.403,159.431,669,
3/1/1981,,,13.073,183.197,1823,
4/1/1981,,,11.609,162.694,1490,
5/1/1981,,,11.401,159.393,1536,
6/1/1981,,,12.556,175.695,2438,
7/1/1981,,,13.299,186.233,1386,
8/1/1981,,,12.707,178.137,2892,
9/1/1981,,,12.345,172.94,3016,
10/1/1981,,,11.555,162.053,2585,
11/1/1981,,,11.779,165.056,1682,
12/1/1981,,,12.105,169.485,2234,
1/1/1982,,,12.863,179.618,2950,
2/1/1982,,,11.782,164.906,2061,
3/1/1982,,,12.135,170.056,2335,
4/1/1982,,,12.033,168.631,2694,
5/1/1982,,,12.485,175.031,1551,
6/1/1982,,,11.858,166.05,2163,
7/1/1982,,,12.405,173.775,2362,
8/1/1982,,,12.155,170.142,1637,
9/1/1982,,,12.396,173.712,2534,
10/1/1982,,,11.908,166.414,1535,
11/1/1982,,,12.649,177.311,994,
12/1/1982,,,13.082,183.388,2885,
1/1/1983,,,11.897,166.845,1864,0.893
2/1/1983,,,11.84,166.041,816,0.866
3/1/1983,,,12.449,174.587,1667,0.818
4/1/1983,,,12.371,173.496,1802,0.798
