Date,Median Housing Price,Mortgage Rates (30 Year Loan),Unemployment Rate,Housing Stock
12/1/2020,,2.684,,
11/1/2020,297500,2.765,,3107
10/1/2020,309950,2.834,5.1,3183
9/1/2020,318050,2.89,6.8,3115
8/1/2020,327304,2.935,7.9,3019
7/1/2020,339950,3.016,7.6,3010
6/1/2020,337000,3.1625,9,3279
5/1/2020,325050,3.2325,11.2,3587
4/1/2020,304495,3.306,14.1,3724
3/1/2020,299950,3.45,4.4,3630
2/1/2020,284530,3.465,4,3768
1/1/2020,267450,3.624,4.3,4325
12/1/2019,259950,3.72,3.3,4854
11/1/2019,260050,3.695,3.4,5478
10/1/2019,266550,3.688,3.5,5773
9/1/2019,272035,3.605,3.6,5834
8/1/2019,277858.5714,3.616,3.9,5775
7/1/2019,287000,3.765,4.2,5641
6/1/2019,289052,3.8025,4.1,5497
5/1/2019,290050,4.072,3.3,5406
4/1/2019,280425,4.1425,3.1,5203
3/1/2019,268135.7143,4.265,3.7,5189
2/1/2019,252500,4.37,4,5275
1/1/2019,239495,4.464,4.5,5724
12/1/2018,239950,4.6375,3.8,6337
11/1/2018,246050,4.866,3.5,6981
10/1/2018,249950,4.83,3.8,7095
9/1/2018,255050,4.6275,3.7,6996
8/1/2018,259545,4.55,3.9,6805
7/1/2018,269950,4.5275,4.2,6524
6/1/2018,272550,4.57,4.5,6073
5/1/2018,275050,4.586,3.7,5562
4/1/2018,271800,4.4675,3.7,5275
3/1/2018,259240,4.444,4,5115
2/1/2018,239950,4.33,4.3,5321
1/1/2018,226500,4.0325,4.4,5545
12/1/2017,223950,3.95,3.7,6272
11/1/2017,226745,3.922,3.8,7028
10/1/2017,229500,3.895,4,7331
9/1/2017,238850,3.805,4.1,7379
8/1/2017,239750,3.88,4.5,7374
7/1/2017,240040,3.9675,4.6,7263
6/1/2017,242300,3.904,4.7,6888
5/1/2017,239950,4.01,4,6472
4/1/2017,230050,4.045,3.9,6310
3/1/2017,213045,4.196,4.3,6326
2/1/2017,195500,4.1675,4.8,6431
1/1/2017,185000,4.15,5.2,6682
12/1/2016,187050,4.198,4.3,7324
11/1/2016,189500,3.77,4.1,8145
10/1/2016,189950,3.47,4.3,8528
9/1/2016,193675,3.46,4.4,8748
8/1/2016,193050,3.435,4.3,9098
7/1/2016,197550,3.44,4.4,9069
6/1/2016,,3.568,4.6,
5/1/2016,,3.6,3.9,
4/1/2016,,3.605,4.2,
3/1/2016,,3.694,4.6,
2/1/2016,,3.66,4.8,
1/1/2016,,3.8725,4.9,
12/1/2015,,3.964,4.2,
11/1/2015,,3.9425,4.2,
10/1/2015,,3.796,4.1,
9/1/2015,,3.89,4.1,
8/1/2015,,3.905,4.2,
7/1/2015,,4.046,4.6,
6/1/2015,,3.9825,4.8,
5/1/2015,,3.84,4.5,
4/1/2015,,3.672,4.2,
3/1/2015,,3.77,4.8,
2/1/2015,,3.71,5,
1/1/2015,,3.67,5.5,
12/1/2014,,3.864,4.5,
11/1/2014,,3.9975,4.7,
10/1/2014,,4.036,4.8,
9/1/2014,,4.1625,5,
8/1/2014,,4.115,5.4,
7/1/2014,,4.13,5.8,
6/1/2014,,4.1625,5.7,
5/1/2014,,4.192,5.3,
4/1/2014,,4.3375,5.1,
3/1/2014,,4.3425,6.2,
2/1/2014,,4.3025,6.8,
1/1/2014,,4.432,7,
12/1/2013,,4.4575,6.1,
11/1/2013,,4.255,6.6,
10/1/2013,,4.192,7.1,
9/1/2013,,4.49,7.1,
8/1/2013,,4.456,7.2,
7/1/2013,,4.37,7.5,
6/1/2013,,4.07,7.8,
5/1/2013,,3.536,7.1,
4/1/2013,,3.445,6.7,
3/1/2013,,3.565,7.5,
2/1/2013,,3.5325,8,
1/1/2013,,3.414,8.6,
12/1/2012,,3.345,7.3,
11/1/2012,,3.352,6.8,
10/1/2012,,3.3825,6.9,
9/1/2012,,3.4975,6.9,
8/1/2012,,3.602,7.3,
7/1/2012,,3.55,7.8,
6/1/2012,,3.675,7.6,
5/1/2012,,3.798,7.1,
4/1/2012,,3.91,7,
3/1/2012,,3.954,7.8,
2/1/2012,,3.89,8.2,
1/1/2012,,3.915,8.5,
12/1/2011,,3.958,7.8,
11/1/2011,,3.9925,7.8,
10/1/2011,,4.0675,8.3,
9/1/2011,,4.106,8.8,
8/1/2011,,4.27,9,
7/1/2011,,4.545,9.4,
6/1/2011,,4.51,9.4,
5/1/2011,,4.6375,8.7,
4/1/2011,,4.84,8.5,
3/1/2011,,4.836,9.1,
2/1/2011,,4.9525,9.6,
1/1/2011,,4.755,10,
12/1/2010,,4.714,9.1,
11/1/2010,,4.3,9.4,
10/1/2010,,4.225,9.2,
9/1/2010,,4.346,9.4,
8/1/2010,,4.4275,9.6,
7/1/2010,,4.564,9.9,
6/1/2010,,4.7375,9.9,
5/1/2010,,4.8875,9.6,
4/1/2010,,5.098,9.9,
3/1/2010,,4.9675,10.7,
2/1/2010,,4.99,11,
1/1/2010,,5.03,11.1,
12/1/2009,,4.93,10,
11/1/2009,,4.875,9.7,
10/1/2009,,4.952,9.7,
9/1/2009,,5.0575,9.6,
8/1/2009,,5.1925,9.7,
7/1/2009,,5.222,9.9,
6/1/2009,,5.42,10,
5/1/2009,,4.8575,9.4,
4/1/2009,,4.81,9,
3/1/2009,,5.0025,9.2,
